中文,英文
双语教育,bilingual education
优势,advantage
创建,"tofound,establish"
相辅相成,tocomplementeachother
思维,thinking
适应,toadaptto
多元文化,multiculturalism
因材施教,to teachaccording toastudent'sability
依据,accordingto
熟练,skilled
程度,degree
超过,over.more than
对象,targetaudience
住宿,accommodation
独立,"independent,individual"
注重,topayattention to
培养,to cultivate
解决,toresolve
必修,compulsory
开设,"toopen,tosetup"
选修,elective (course)
经济学,economics
心理学,psychology
全面发展,"comprehensive development,becomeversatilepeople"
丰富多彩,colourful
烹饪,cooking
