0,1,2,translated
配合,pèihé,cooperate,配合
社会,shèhuì,society,社会
教学,jiàoxué,teaching,教学
困难,kùnnán,difficulty,困难
华族,Huázú,Chinese ethnic group,华族
积极,jījí,active,积极
印度,Yìndù,India,印度
文化,wénhuà,culture,文化
全球,quánqiú,global,全球
使用,shǐyòng,use,使用
优势,yōushì,advantage,优势
重要,zhòngyào,important,重要
融入,róngrù,integrate,融入
社会,shèhuì,society,社会
习俗,xísú,custom,习俗
传统,chuántǒng,tradition,传统
结交,jiéjiāo,make friends,结交
交流,jiāoliú,communicate,交流
公司,gōngsī,company,公司
需求,xūqiú,demand,需求
经济,jīngjì,economy,经济
发展,fāzhǎn,development,发展
看法,kànfǎ,opinion,看法
自然,zìrán,natural,自然
部分,bùfen,part,部分
价值,jiàzhí,value,价值
回答,huídá,answer,回答
及格,jígé,pass (an exam),及格
升学,shēngxué,advance to higher education,升学
脱离,tuōlí,detach,脱离
