配合,pèihé,cooperate
社会,shèhuì,society
教学,jiàoxué,teaching
困难,kùnnán,difficulty
华族,Huázú,Chinese ethnic group
积极,jījí,active
印度,Yìndù,India
文化,wénhuà,culture
全球,quánqiú,global
使用,shǐyòng,use
优势,yōushì,advantage
重要,zhòngyào,important
融入,róngrù,integrate
社会,shèhuì,society
习俗,xísú,custom
传统,chuántǒng,tradition
结交,jiéjiāo,make friends
交流,jiāoliú,communicate
公司,gōngsī,company
需求,xūqiú,demand
经济,jīngjì,economy
发展,fāzhǎn,development
看法,kànfǎ,opinion
自然,zìrán,natural
部分,bùfen,part
价值,jiàzhí,value
回答,huídá,answer
及格,jígé,pass (an exam)
升学,shēngxué,advance to higher education
脱离,tuōlí,detach
